0,1,2
12.31232,6.549833,-1.2542017
2.0745232,9.52754,-24.744959
-3.9612565,-18.11805,5.6026373
10.038521,24.265865,-2.0048244
-2.0615819,5.9471803,17.107378
4.948926,12.8648405,-10.142312
8.260442,-9.928469,-5.0990324
7.4340024,-4.5448704,5.38973
4.0017114,-22.921688,3.0555549
-5.5465198,-8.19333,-18.047028
-9.172603,1.8787266,-3.3060262
-19.35337,0.8097378,14.009174
7.983684,20.740524,-4.13204
-4.783729,11.444888,16.522142
-4.135874,7.21767,0.6266663
-14.938562,3.3002563,-2.093074
19.506456,-11.779395,12.3820715
23.849236,0.37146878,-9.01448
0.46781212,-22.897844,-4.4185877
14.741084,21.03567,6.842331
-9.619799,5.88653,-16.412598
4.1396155,20.436697,12.045396
4.5626917,3.12552,11.571016
-3.4777884,1.4417982,4.265615
4.169046,0.32093754,15.587041
-7.1485305,18.664127,16.077438
14.506673,-0.9667733,-16.566137
2.1989667,-25.73645,-1.8382099
-12.115781,-4.4219832,21.701166
0.23444507,-5.8373632,11.61908
0.1739978,2.5341294,18.335865
-8.284029,23.3727,9.730771
11.982229,6.1309075,13.342846
-8.758079,-2.775257,-2.6823313
-8.064992,14.405873,-12.511617
14.083772,2.3624713,-4.0656567
-23.768246,7.8838925,3.9589927
7.3448067,-13.165188,-3.6501384
3.505858,4.8371544,15.966556
-21.516184,-5.083751,11.761575
-6.5752654,-4.3597875,-14.969328
6.0702267,-9.350934,-6.0398455
17.952425,3.489544,-6.2316794
3.2536442,5.8546495,-6.997066
14.806088,-14.23537,10.073468
-4.7320623,-11.016877,-21.592339
1.7503513,0.16124973,11.732294
-11.473173,1.1860473,-15.953438
8.685231,3.206129,17.950317
6.8591967,5.2176366,12.414911
7.229812,-4.154667,-16.23911
-0.8246075,-7.4990463,-0.4436663
-3.6900609,-18.24521,-8.797094
-5.8531775,-9.575463,16.251976
11.4116,5.3719506,9.441834
-0.74890995,-14.543373,-0.8331943
4.5128584,4.983577,-6.688821
-21.201267,3.7060516,-8.411502
-11.576395,-10.576809,-11.92229
23.518118,2.0729063,-1.8960661
9.984753,-2.586171,-12.355639
8.530836,-6.9863772,-1.1609446
-4.541181,12.070878,15.819744
-2.197619,-11.944991,14.196829
1.7020035,-11.82634,-5.299609
-19.35709,0.81243765,13.994629
19.427391,17.003498,-1.9796796
16.276894,3.6689496,11.544295
12.655417,-22.105047,5.2822084
4.421594,6.005072,12.480743
-10.036637,8.284273,5.5478973
-3.120942,6.1656547,-19.541985
-4.4928026,14.876515,-0.16776928
-6.1818647,-8.676637,2.8593442
3.4021533,1.45332,-5.159697
-9.9807205,-3.0261457,9.937864
-14.383758,-16.143353,-2.8256686
-9.869912,10.016544,4.4144564
15.4494915,16.630161,2.9691038
-8.668665,-3.6966884,-3.2760382
-16.322916,-6.319841,-10.181608
18.786184,17.007698,-6.4321904
-9.370442,-16.318102,19.289291
-2.07949,-23.643572,1.7873974
19.598095,-2.4955633,11.813638
13.954111,10.253491,1.5502777
10.274992,13.682122,-19.544407
-5.129861,4.044124,18.03553
-9.774054,16.711802,10.481741
-14.71876,-0.32944825,-13.804313
-5.0485497,7.010021,-15.1113615
6.147296,6.364701,1.5169392
6.4503446,19.492561,12.231488
17.90134,5.9221215,6.943409
9.1844225,10.205281,20.44155
-6.5396934,-3.899111,23.80988
-0.4890091,10.961834,9.247763
-13.35467,2.3280425,6.7590213
5.498875,13.170465,-5.6859407
-15.660656,7.6155024,14.1730175
10.274249,10.590889,11.296255
-10.747674,-9.347492,-4.468209
12.167252,6.264573,-1.3608334
16.329681,-4.0999103,19.405916
-0.6365891,-7.6299524,-0.8577078
2.871688,-7.8634853,6.422316
-17.31347,-15.589152,9.625502
4.7539635,-16.8569,19.511272
1.8839546,-0.71509296,14.591711
3.7821426,17.268187,16.976175
12.0532055,-8.285403,-13.219843
-4.1560464,11.867735,-16.564064
-9.14285,-24.210014,1.5397269
-19.325655,6.6122656,6.373879
1.338809,-8.613633,2.9817753
-13.010864,-10.493315,9.2171
-10.117825,-8.682813,-16.863976
6.277695,-18.43118,13.6145935
18.402035,-10.895647,0.38870588
4.184877,-13.448676,14.80062
22.444866,-7.4427304,-2.9346561
20.050758,0.6793353,8.02799
7.213333,6.5474305,16.61462
7.5810933,11.569974,7.960162
-8.901494,-3.6859627,-9.090238
-3.0673702,-11.89902,-21.998482
-6.488172,-4.3005614,-4.9061437
-8.317757,-20.644909,8.162861
-14.080949,-14.312668,17.084032
